Title,Price,Sold,Reviews,Condition,Number of Cups,Power Source,Coffee Type,Custom Bundle,Color,Material,MPN,Item Depth,Bean/Coffee Capacity,Brand,Type,Compatible Water Filtration,Compatible Capsule/Pad System,Item Height,Voltage,Model,Type of Coffee Made,Features,Country/Region of Manufacture,Components Included,Item Width,Power,UPC,Name,Whether electric or not,Amount of powder,Water capacity,EAN,Original/Reproduction,Style,Bar Pressure,Item Weight,Water Tank Capacity,Unit Quantity,Modified Item,Pressure,Unit Type,Colour,Control Panel,Finish,Number of Settings,Manufacturer Colour,Heat up Time,Energy Rating,Bean Capacity,Manufacturer Warranty,Cable Length,Voltage (V),Capacity (Cup),Certification,Function,Housing Material,Power (W),Size,Manufacturer Part Number,Manufacturer,Joyoung Model,Operation Method,Classification,Cord length,Manufacturer Color,Water tank capacity,Supply Type,Energy Star,Number of Settings/Programs,Compatible Brand,Compatible Model,Department,Product,ISBN,realweight,Grinding Method,Category Type,Stove Type Compatibility,MaterialType,ProductGroup,ProductTypeName,Warranty,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Product Type,Bundle Listing,Water Source,Human Interface Input,Capacity,Brewing Temperature,Alto,Capacity grain and coffee,Width,Dimensions of the product,Type coffee,Weight of the product,Pressure in bar,Colour the manufacturer's,NumberOfItems,PackageQuantity,Bundle Description,Energy Efficiency Rating,Package included:,Up dia,Colors,Down dia,Working Pressure,Format,Item Length,Height,Part Type,Items Included,Grinder model,Grinder power,Item model number,Package Dimensions,Special Feature,Coffee Maker Type,Quick steam function,Device type,Water filters,Eco-Friendly,Manufacturer number,Freeness,Operating mode,Particularities,Product line,Offer package,List,Grinder,Printing system,Cappuccino System,Coffee Powder,Weight,La Pavoni,"Saeco Aroma, comercial",Gaggia Classic,Gaggia,Manufacturer article number,Removable water tank,Frequency,Milk supply,Cleaning and descaling alarm,Finish Color,Water tank,Herstellernummer,Bestandteile inbegriffen,Produktart,Höhe,Anzahl der Tassen,Kompatible Wasserfilter,Modell,Kaffeebohnen-Fassungsvermögen,Tiefe,Kaffeeart,Breite,Kaffeevariationen,Besonderheiten,Marke,Platform,Item Type,Filter Type,Single machine weight,Host,Inner packing size,Coffee filter cup,"Water tank, cup holder",Number in Pack,Suitable For,Origin,Coffee powder amount,Pattern,manufacturing time,System compatible of capsule/dose,Supply power,Depth,Type unit,Amount of pieces,Time of warming,Product Dimensions,Is Discontinued By Manufacturer,ASIN,Shape,Item size,Package weight,Package size,Made In,Water Tank,Model Number,Instructions Manual,Capsule Type 2,Capsule Type 3,Type 1,Boiler Volume,Binding,Studio,Publisher,Label,IsAutographed,IsAdultProduct
Luxury Cappuccino Coffee MACHINE BRAND NEW IN BOX!, ,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",2,Electrical,Pod,No,Silver,Stainless Steel,Dose Not Apply,Dose Not Apply,Dose Not Apply,Unbranded,Cappuccino Machine,Dose Not Apply,Nespresso,280mm,220 V,CM6868 N BCG300,"Cappuccino, Espresso","Additional Coffee Container, Adjustable Coffee Spouts",China,"Coffee Filters, User Manual, Water Tank",210mm,1200 W,Dose Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Manual Portable Coffee Maker Espresso Home Handheld Travel Coffee Machine,24.69,39 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,food grade plastic,Does Not Apply,,,Unbranded,Other,,,,,Other,,,,,,,Does Not Apply,Mini,no,7g,70ml,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mueller Nespresso coffee espresso machine,50.0,27 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Pod,,White,,,,,Müller,Espresso Machine,Na,Nespresso,,,Espresso,Espresso,"Auto Shut-off, Easy to Clean, Programmable Controls, Quick Heating, Removable Water Tank, Water Tank",Austria,"Drip Tray, Water Tank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New DeLonghi All-In-One Combination Coffee|Espresso|Cappuccino Machine - #BCO430,240.0, ,"[""I have tried everything and read the manuel at least four times and this Espresso Maker just does not work right.  To start with no matter if you use ground coffee or grind it yourself it puts very little flavor in the cup.  Probably this is due to the fact that the water never gets truly hot.  It gets a little more than luke-warm but not by a lot and certainly not hot enough to brew coffee.  And it does not matter if you allow it to warm up for 15 minutes or 45 the water still doesn't warm up hot enough to brew coffee.  What  a disappointment.  I will never buy a DeLonghi 10 cup Coffee and Expresso Maker again.  Also I won't buy anything like this from EBAY again because if I had purchased elsewhere I could return it. "", ""I'm satisfied with my purchase, because it was a new open box item that i got for about $300 under msrp. So, for $129 or however much i paid, its well worth it and a heck of a value! Functionally it does Brew coffee very well, (just as good as the cuisinart it replaced), and the espresso makes espresso. Its got a 15 bar rating and i believe it, because nothing can get through those little tiny espresso filters without that sort of pressure. So far I've only used Starbuck Sumatra and Dunkin donuts coffees, but they taste as good as anything you'd buy from a coffee house. One big sidenote though, is i do have a Culligan system including reverse osmosis, so the water i use is along the lines of say Dasani bottled water. If you're trying to use crummy water to make coffee, your coffee will taste crummy no matter what sort of machine you own. It'll also scale up and but out faster and be much harder to clean. Use filtered, softened, reverse osmosis and you'll be happy from the shower to the coffee pot lol.So, it makes espresso and can steam froth milk, so you can make nice cappuccinos as well. The downside is, you've got to make sure that the switch on the left side turns on the heater for the espresso and steam. There's two lights on the front that turn green, one for the espresso and the other for the steam. It takes a while for those to turn green, letting you know the water is hot enough. Then after brewing it takes a bit for the heat to catch up again, so you can't make espresso quick fast and in a hurry like a barista.I've had to use coffee mugs and a small Pyrex measuring cup. The box shows two clear air insulated espresso cups and a stainless steel frothing container, but those don't come in the box.One last thing, is if you've never owned an espresso machine, or brewed legit espresso, you're in for a little learning curve and its more work than you might think. Its not like ordering one from Starbucks. At home, you've got to do all the messy tedious work yourself and then cleanup once you're done. If i had to guess, after a week of practice, it takes me about 10 minutes from start to finish to enjoy 2 minutes worth of cappuccino. Is it worth it? Yes i suppose so, because i don't have to drive anywhere to get it.All in all not a bad purchase if you can find one at a good deal like i did."", 'The only con for me, is the size of the groupo (the espresso filter cup). I like a large cup of espresso, and even the ""double"" is a very small serving (for my preferences). Everything else about this machine is a ""pro"". It\'s easy to use, easy to clean, brews an excellent pot of coffee, and has a great frother/steamer.I am quite happy with my purchase. Especially since I bought it used for $40.00 (!!) from someone that took very good care of it. It was received very clean and in near new condition.', 'The steaming spout is a little bit shorter than would like but other than that it works great', ""First it said you wouldn't have to move from under the cabinets not true, the drip coffee is ok but the espresso is awful it looks beautiful but not worth 200 hundred dollars I need you to send me a label so I can send it back thank you."", 'The machine looks and works great. The only issue I have is that when making coffee, steam escapes from where the water filter is and causes some condensation on the back of the machine.After making coffee and opening to clean used coffee grinds, water/condensation falls all over the counter. Possible design issue.', 'Very nice style. Easy to set up. Brews excellent coffee.Very good espresso. Steamer for Cappuccino is excellent. all around excellent machine.', 'Had many chips, damage and dirty…..very unhappy with this company….need a big discount on it….RWelch', ""It's not so easy to make cappuccino.But the coffee maker is great for brewing coffee."", 'Very happy with this purchase!! Was looking to switch from a french press after 5+ years. Both the drip coffee and the espresso side work great!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",10,Electrical,,,Multicolor,Stainless Steel,"BCO430BC, BCO430",11 in.,,De'Longhi,Coffee & Espresso Combo,,,14.5 in.,,BCO430,,"Removable Filter Basket, Steam Wand, Auto Shut-off, Stand-by LED Light, Water Tank, Removable Brew Basket, Frother, Permanent Filter, Programmable, Removable Drip Tray, Timer, Easy to Clean, Removable Water Tank, Cup Warming Surface, Programmable Controls, Quick Heating, Display",,,14.5 in.,1500-1799w,0044387104302,,,,,,Reproduction,Combination Espresso and Coffee Makers,15 bar,14.2lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TCHIBO Fully Automatic Coffee & Espresso Machine,250.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Tchibo,Espresso Machine,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Espresso Cappuccino Latte 4 Cup Coffee Machine with Milk Frother Steamer,45.99,268 sold,"[""This espresso machine is perfect for everyday use. It takes up very little room on the worktop. It's ideal for 2x cups of espresso. It will make a mug of coffee. If I want latte I steam the milk first then the coffee itself takes about 30seconds. Then pour on the frothy milk, really smooth. When finished takes only minutes to clean, just a quick rinse and wipe"", 'Seems to be working fine, almost silent in operation, just a slight clicking when in mosquito mode. Would have scored 5 stars if the body could have been a little bit narrower, you have to switch on the socket before you plug in the repeller.', 'Very simple design. It needs practice to get volumes right and it is not automatic but it does what it says it does making perfect coffee. Frothing the milk also needs practice. But by buying ready ground coffee at £1 in Poundstretcher it works out at about 3p a cup.', 'I bought this as I have never liked filter coffee and this uses ground coffee. It arrived this morning, its very easy to use and makes just enough for the  large mug  I use for coffee. I used just over half a scoop of flavered ground coffee and was plesently surprised it was just as I like coffee. Not so strong to stand a spoon in as you get with filter coffee. Definitely worth the price.', 'Perfect coffee machine, I love its compact and classic style. Would look good anywhere', ""It arrived on Monday, it's Friday today tripped our switch and stopped working. Leaks water at the bottom. It was brilliant at first, loved how good it was, especially the steamer. Now disappointed because only 4 days old and no good."", 'fantastic so missing a good cup of coffee,this hits the spot, love it.', 'Good looking coffee machine works well', 'nice item', 'Its great lovely strong or weak coffee any time of day or night A1']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",4,,Ground Coffee,No,,"Stainless Steel, Steel",JL800,20 cm,,CookSpace,Espresso Machine,,,33.2 cm,240 V,CookSpace JL-800B,Espresso,"Steam Wand, Frother, Cup Warming Surface",,"Cup Warmer, Drip Tray, Measuring Scoop, User Manual",32 cm,800 W,,,,,,5060432651954,,Contemporary,3.5 bar,1.8 kg,1 L,1,No,Less than 5 bar,Unit,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiBREW Multifunctional Portable Coffee Machine Coffee Powder Nespresso and Dolce,109.25,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,Black,,,,,HiBREW,,,Nespresso,,,ACM009,,Portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breville BES870 Coffee Machine 240V Solenoid Valve Assembly Part BES870/02.14A,99.0,Last item available, ,New,,,,,,,BES870/02.14A,,,Breville,,,,,240 V,BES870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breville BES870XL Barista Stainless Steel Espresso Coffee Machine with Grinder,699.95,96 sold,"[""I am loving this machine. We use it 3-4 times per day and it is pretty easy to learn. Definitely different beans require perfecting the technique all over again. The fresher the beans the more I have trouble getting the grind just right I think because there is more oil in the beans.  But it comes with dual wall baskets for the less masterful barista.  I love the grinder and I love that all of the features of the machine, grind, amount, temperature, shot pull time, etc are all adjustable so you can make the machine make your ideal cup just the way you like it.  This machine will pay for itself in a year or less as a result of decreasing visits to the coffee house.  It makes espresso on par with my favorite local coffee shop, and waaaayy better than Starbucks.  I have had no trouble with the machine and I've already made hundreds of shots with it."", ""I feel for the people who paid $600 for this machine.  The design of the water inlet seal is inexcusably poor-- as it ages, the rubber shrinks and puckers, leaving a scalloped surface around the nose of the tank, which does not seal well at all.  Failure to use a garter spring type seal in this critical spot is just plain dumb, or planned obsolescence.  The water inlet seal is on indefinite back-order from the only USA supplier, Breville will NOT sell parts to an end user, and wants $250 flat-rate for service.  The o-ring seals for steam connections also fail, but are readily available Silicone #007 size available all over the place.  If you are willing to modify the machine to use an external water supply, replace some leaky o-rings, it's an excellent performer.  Other thoughts:  The grind amount setting is never accurate because unless the bean hopper is full, beans fail to find their way into the sides of the grinder without manual stirring.  Not a big deal... The grinder can be operated momentarily by pushing in to turn on, in again to turn off.  After fixing the seals, adding an external tank, I have no trouble pulling excellent shots in the mid-high range on the pressure gauge, (a VERY helpful touch to get your grind/tamp settings right.)  Bottom line:  I LOVE it as a ~$240 DIY project, (Includes the price of a huge Brita tank, plumbing fittings, tubing + replacement O-rings,) would be ANGRY if I paid $300-$600 for it."", 'Great engineering and finish. Makes the very best coffee ever. Love the convenience of the built in grinder. I use ""fine grind"", ""max quantity"", hard compacting of grinds in filter, brew 2- cups and hit twice for the taste and quantity for my large coffee cup.Pressure gauge is in the range or 10:00 - 12:00. Instead of adding additional hot water, I add an extra ""single"" drip - that\'s a total of 5 cups  ( 2,2,1 buttons) for my single large coffee. Use the same loaded filter for all the drips.Then I heat and foam Almond non-sweetened milk , add a very small amount of organic Honey from a local farm. Wow!! Greatest cup of coffee - ever.Also - water is RO water that is frozen and defrosted  prior to adding to machine- that lowers the impurities from TDS 22ppm  from my RO water maker to TDS 12ppm! Thats twist as pure. Freezing water expels impurities from the ice crystals.Beans are Trader Joe\'s  French Roast Dark Roast Strong and Rich 26 oz package.I\'ve also ordered organic Columbian green beans and will roast in my home roaster to see difference in flavor.', ""I'm new to the espresso making so this is coming from a newbie. I think the machine coming with burr grinder is a great combo. I've used it now for probably 15-20 times or so and getting a hang of it. I think it's very simple and easy to use machine. Comes with everything you need to start making your own espresso, other than the beans, lol. I only tried Illy beans thus far, I'm more of a Americano guy and for that purpose this machine is perfect. My wife prefers latte/cappucino and that I think I still need to perfect, as the results for not been great. Part of the problem could be that she only wants decaf so that might have something to do with it as well. Steaming milk seems like a breeze, no issue with the process but I think getting the milk to the higher/better temperature is something to be desired here, but it could be my own inexperience with it, maybe I need some sort of thermometer. Speaking of temps, I like my coffee hot, so even using the hot water dispenser that's part of the machine still does not feel very hot to me. I tried to increase the temps using the Program function but so far I think I still would want it a bit hotter. Overall great purchase but I assume more expensive units could dial in the temps better. For my own use this is fine however."", 'All the features you would want in an espresso machine. Convenient integrated burr grinder that is adjustable for grind size and volume. Need a cup of hot water?...no problem. The machine can automatically dispense that exact volume as well. Easy to clean and maintain. The owners manual is well written and thoroughly covers all aspects of operations and the many features that are user selectable. You can spend a lot more and not get much better until you approach the mega dollar Italian models.', ""Best espresso this side of PARIS.  It does take some time to learn that you need to PACK the holder with a lot of force; then use the scraper in order to get mid-range pressure. And, use a bean with a lot of oils if you like real espresso.  Here's a recommendation. Peets Coffee, Major Dickason's Blend, Whole Bean (AMAZON)READ THE MANUAL.  Learn how the automatic grinder works; set level dial; push once to start and once to stop.  Set level so 1st fill does not overflow; tap, pack and repeat.  Slightly rotating packer helps.  Use TRIM tool or your risk no water; target 1/2 range on the pressure gage.  It takes heavy pressure to make this happen.  Grind setting 3 is best for me.PS.  Some Youtube videos show using the steamer without prep'ing it first; BAD idea.  Follow instructions and purge water from the steam cycle before you start frothing milk or you just add a lot of water to the froth!For Cafe American, just run your double expresso cycle twice (better than adding hot water and you get a perfect 50% dilution).  I drink this in the mornings; better on an empty stomach.  Real espresso should be for after a meal, IMO; just like FRANCE."", 'I’ve been making and drinking espresso from a wide variety of machines. Most of which have been made for high volume output in a cafe setting. This spoiled me and got me used to being able to pull shots and steam at the same time. That being said, the only downside to this machine is it’s inability to multitask. The manual is very detailed and could teach someone who has never laid and eye on an espresso machine how to make professional grade drinks. It also has great tips that even some experienced baristas could benefit from. The option to completely customize the whole experience is amazing. The hopper is air tight so you don’t have to worry about your beans going stale so quickly. The drain tray holds a very large amount of water before it warns you it needs to be emptied. I’ve learned you should turn the machine off before emptying the tray because of its auto purging feature though. It’s smaller than a toaster oven so it doesn’t take up too much counter space. Overall a great machine. ', ""I do not have a long history with a long list of espresso machines, and this is the first higher end machine I bought. It's not the easiest to use, a little daunting at first; you might think you need a cup of coffee to figure it out, but once you get it, it works well and simply, and you can tweak it to your own preferences in grind and volume. It makes great espresso and cappuccino."", 'As an avid espresso and a high-quality coffee addict , I was excited to see this espresso maker met all expectations and beyond. The coffee grinder is quite and does a great job grinding to various degrees of coarse-to- fine coffee. this immediately releases the aroma of the beans, making it ready to extract. the high extraction pressure allows for a creamy strong and robust espresso.The steamer is easy to use and clean, and does a great job.The programming feature is great, it allows you to define how hot you want your coffee, and how much is "" double shot"" Vs ""single shot"", and moreDownsides : not many or crucial issues. 1. the amount of coffee ground dispensed- the knob designated for this seems to be not as accurate as expected, despite dialing "" smaller amount"" it still gives you the same. this though can be overcome by manually stopping the grinding process as soon as the amount is satisfactory. 2. the tray, which is very well designed, gets filled faster than you may imagine, it announces "" Empty me"" relatively soon. but it is well designed and fun to clean and put together back again.Overall, I am very happy with this machine, it is beautiful, well designed, feels like high quality, and does an excellent job. highly recommended.', ""The machines requires some initial setup but after that you will have a perfect expresso every morning. In my opinion the Espresso is much better than the regular capsule machines like Nespresso etc. The other advantage is the price per cup, much less than the capsule machines. You just need to buy your coffee beans ( or make your own blend ) to create your perfect expresso. This model has several details and ingenious features you just can't find in others models.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Electrical,Whole Beans,,Silver,Stainless Steel,BES870XL,,,Breville,Espresso Machine,,,,110V,BES870BSXL,Espresso,Auto Shut-off,,,,1600 W,0021614055514,,,,,,,,,,2 qt,,,,,,Analog,Matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Breville Barista Express Coffee Machine Espresso Maker RRP $899.95 Gift Idea,719.99,291 sold, ,New,8,Electrical,Whole Beans,No,,Stainless Steel,BES870BSS,313mm,,Breville,Coffee & Espresso Combo,BREVILLE,NONE,407mm,220-240 V,The Barista Express BES870,Espresso,"Hot Water Tap, Water Tank, Frother",,AS PER MANUFACTURER SPECIFICATIONS,338mm,n/a,,,,,,,,,15 bar,13 KG,2 L,,,,,,Analog,,OTHER,Silver,60-65 sec,Compliant,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
