Title,Price,Sold,Reviews,Condition,Refresh Rate,UPC,Brand,Smart TV Features,Built-in Digital Tuner,Display Technology,Screen Size,Maximum Resolution,Color,Model,Year Manufactured,MPN,Features,Audio/Video Inputs,Manufacturer Warranty,Energy Star,Type,Warranty - Labor,Warranty - Parts,Custom Bundle,3D Technology,EAN,Manufacturer,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Connector Type,Streaming Services,Is Smart,Resolution,Assembled Product Weight,ISBN,Format,EC Range,Series,Country/Region of Manufacture,Model#,Manufacturer Color,Plug Type,Material,Color System,Voltage,Speaker,Depth (with stand),Width (with stand),Height (with stand),Compatible Brand,Class of efficiency energy,Scale of efficiency energy,modell,Internetverbindung,Processor,Speicherkapazität,Ability to storage,Functionality Smart TV,Inputs Audio / Video,Internet connectivity,Storage capacity,Tuner digital integrated1,Tuner digital integrated2,Tuner digital integrated3,Tuner digital integrated4,Functionality Smart TV1,Inputs Audio / Video1,Tuner digital integrated,Functionality Smart TV2,Size,Televisions:Screen_Size_Class,Home_Video:Series,Bundle Description,Colour,Compatible Devices,Country of Origin,Form Factor,Item Weight,Number Of Items,Package Dimensions,Theme,code,SKU,HDMI,Aspect Ratio,Depth,Depth with Stand,Digital Tuner,DLNA Certified,Electronic Program Guide,Energy Consumption per Year,Ethernet,Height,Height with Stand,Input Voltage,Internet Access,Operating Power Consumption,PC Streaming,Product Family,Product Model,Product Series,Product Type,RMS Output Power,Scan Format,Screen Size Class,Sound System,Standby Power Consumption,Total Number of HDMI Ports,USB,VESA Mount Standard,Video Signal Standard,Weight (Approximate),Weight with Stand (Approximate),Width,Width with Stand,Motion Interpolation Technology,Horizontal Viewing Angle,Product Color,Standard Refresh Rate,item_length,item_width,Functionality Smart TV3,Functionality Smart TV4,Color manufacturer,Inputs Audio / Video3,Inputs Audio / Video2,Year of manufacture,Operating System,Unit Type,Unit Quantity
NEW TCL  3 Series 32” HD Smart Android Tv ,169.99,30-day returns,"[""This TV is an excellent size for the space it is used. Disappointed in the fact that TV won't interface with the DirecTV remote, on/off and volume must be controlled with TCL remote. "", 'TCL is tops in smart tv technology, easy to set up, bright clear picture, simple remote control.', 'Great Choice For A Replacement of our small bedroom set that failed, since it has ROKUfeatures built into the unit!', 'A great tv with an great price.  Works great with a great picture.  Love the tv', 'I bought this TV primarily so that I could it could use my wireless speaker and it works fabulously and a great value', 'This was the perfect TV for my grand-daughter. It has all the apps she enjoys to watch her favorite programs.', 'Very good quality and shipped on time love this tv ', ""You can't go wrong with a TCL brand. quality and durability."", 'In its price range, it is great.', 'Excellent TV I love the Chromecast built in and the android system']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,8.46042E+11,TCL,"Netflix, Internet Streaming Interface, Home Automation Control, Voice Interaction, Android TV, Screen Mirroring","NTSC, QAM, ATSC",LED,32 in,1080p,Black,TCL 3-Series S330,2020,32S330,"Bluetooth, Wi-Fi Enabled, Headphone Jack, Ethernet Port","Digital Audio Optical TOSLINK, Coaxial F, Composite Video RCA, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Insignia 24"" HD 720p Class F20 Series LED Smart Fire TV Model NS-24DF310NA21",108.98,143 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60Hz,6.00603E+11,Insignia,Fire TV,,LED,"24""",HD (720p),black,NS-24DF310NA21,2021,NA,Works with Amazon Alexa,"RCA, HDMI",n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 32"" Class HD LED Android Smart TV 3-Series - 32S21 Brand New Free Shipping",159.99,28 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,8.46042E+11,TCL,Android TV,,LED,32 in,720p (HD),Black,3-Series,,,"Dolby Audio, HD Picture Quality, Hey Google / Google Assistant, Remote Control Included","Composite Video RCA, HDMI",,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung - 43"" Class 7 Series LED 4K UHD Smart Tizen TV",275,6 watchers,"['I cannot connect to computer, and cannot replace the old SONY yet.  I can talk to the TV and user interface is quite clear and easy to use until ""unknown"" source had to be recognized.  I may have to bring a technician at $85.00 per hour to make it work, perhaps.  Will you cover some of these costs?            THIS IS UNACCEPTABLE', 'Awesome TV based on cost, size, picture quality and being shipped free. ', 'The picture on the tv is ok, but the app section does not work correctly.  I have to delete some apps and re download them frequently.  I had a Roku no name tv that was a much better quality tv.  I am very disappointed in this purchase.', 'True 4K TV. I have a three 43 Inch TV computer setup. This came in no damage. Its nice. ', 'I am having problems with the channels I scan and they don’t seem to want to stay and don’t know what the problem is TVs in the house so work fine it’s just worn out on my deck that don’t work fine', ""It's pretty good. Make me wonder what the larger displays are like."", 'Good picture. Nice tv. Happy with purchase ', 'Very happy with the picture, sound and operation of the TV, outstanding.', 'very easy setup and startup ', 'color tv, wow']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,8.87276E+11,Samsung,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","QAM, ATSC",LED,43 in,2160p (4K),Gray,Samsung TU7000,2020,UN43TU7000FXZA,"Wi-Fi Enabled, Wall Mountable","Coaxial F, HDMI, USB 2.0",Yes,,Televisions,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW ROKU Smart TV 40"" FHD LED H4030F Series 40H4030F1 (Black)", , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Roku,"Closed Captioning (CC), Downloadable Apps, Internet Browsing, Netflix",,LED,40 in,1080p (FHD),Black,Hisense 43H5500G,,,Wall Mountable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIO 75”inch New TV Quantum LED 4K UHD SMART.   THIS IS A  BOX DAMAGED ITEM.,300, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,,VIZIO,,,LED,75 in,2160p (4K),,Vizio M75Q7,,,,HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung QN55LS03AA 55” The Frame QLED UHD 4K Smart TV QN55LS03AAFXZA (2021),919,88 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",240 Hz,8.87277E+11,Samsung,"Netflix, Internet Streaming Interface, Home Automation Control, Closed Captioning (CC), Voice Interaction, Downloadable Apps, Home Network Streaming, Internet Browsing",ATSC,LED,55 in,2160p (4K),Black,QN55LS03AAFXZA,2021,QN55LS03AAFXZA,"Bluetooth, Wi-Fi Enabled, HDTV Enabled, Local Dimming, Built-in Speakers, Ethernet Port, Wall Mountable, RS-232C, Flat Screen","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hisense 75U800GR 75"" ULED 8K Premium Roku Smart TV 2021 + Movies Streaming Pack",1899.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",120 Hz,8.88143E+11,Hisense,"Netflix, Internet Streaming Interface, Not Supported, Closed Captioning (CC), Voice Interaction, Screen Mirroring, Downloadable Apps",ATSC,LED,74.5 in,4320p (8K),Black,75U800GR,2021,75U800GR,"Game Mode, Local Dimming, Wall Mountable, HDR TV, Upscaling to 8K","USB, Composite Video RCA, HDMI",1 Year,Not Compliant,,,,Yes,Not Supported,8.88143E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung AU8000 50 inch 2160p Crystal UHD LED Smart TV, , ,"[""This TV arrived in 4 days via UPS in excellent condition. No damage to the outside carton or to the TV.Physical unpacking and set up was easy. Complying with all the Samsung setup conditions was intrusive and offensive. It left a bad taste. It could use an additional HDMI port and traditional RCA jacks (red, yellow, white). It would be charitable to describe the remote as minimalist. We purchased an inexpensive universal remote with real channel buttons and functional controls and it made a positive difference. Voice control isn't a necessary feature for us. This TV meets our requirements but it's a bit pricey for what you get."", ""the remote is to small and not enough control buttons . I don't like the fact I have to go through screens to get to controls .the lack of inputs on side is a design problem. you cant change the picture ratio. volume control needs to be better. picture and sound is nice ,voice control remote is a mixed bag, The internet part is quite is good .I really like Samsung but this tv is a rather Big disappointment. The size of the mounting bolts size is WRONG BIG TIME IN GOOGLE.ITS A DECENT TV BUT IT Should have been design a lot better."", 'Great display, sound, and performance. A great investment if you want an excellent TV for the$$$$. Definitely recommend it to anyone with a low budget or that don’t want to spend too much on a TV.', 'Beautiful, bright picture. Minimalist remote (but replete with features).', 'Good quality picture. Smart features are great.  Speakers are OK.', ""Great Tv good picture. okay there's just so much you say about a tv."", 'great picture,.a little hard to navigate,and remote code not displayed clearly if at all.', 'This is an excellent TV, right out of the box very easy to set up, if you have another Samsung TV you can transfer your settings from that TV to this new TV. Very easy setup this way. Picture is crystal clear!', 'Relatively easy to set up and has a great picture.  ', ""The picture is clear as a bell and it was easy to hang on the wall. I bought an articulating mount so we could watch from any angle. I still haven't tried all the goodies available and maybe I'm too dumb for a smart TV. Anyway, we love it.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",120 Hz,8.87277E+11,Samsung,"Netflix, Internet Streaming Interface, Home Automation Control, Downloadable Apps, Home Network Streaming, Internet Browsing",,LED,50 in,2160p (4K),Black,AU8000,2021,UN50AU8000FXZA,"Bluetooth, Widescreen (16:9), Game Mode, Wall Mountable, HDR TV, Thin Bezel, Remote Control Included, UpScaling to 4K, Mirror TV, Wi-Fi Enabled, Ethernet Port, Voice Search, Flat Screen","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 3.0, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-inch Class F20 Series Smart HD 720pTV (NS-32DF310NA19, 2018 Model)",90.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,Does not apply,Unbranded,Voice remote control,,LCD,32 in,720p (HD),Black,NS-32DF310NA19,,,,"Ethernet, HDMI, USB, ARC, composite input, Antenna/Cable Input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
