Title,Price,Sold,Reviews,Condition,Display Technology,Model,Maximum Resolution,Refresh Rate,Features,Color,Smart TV Features,Audio/Video Inputs,Year Manufactured,MPN,Brand,Manufacturer Warranty,Screen Size,UPC,Energy Star,Type,Warranty - Labor,Warranty - Parts,Built-in Digital Tuner,Custom Bundle,3D Technology,EAN,Manufacturer,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Connector Type,Streaming Services,Is Smart,Resolution,Assembled Product Weight,ISBN,Format,EC Range,Series,Country/Region of Manufacture,Model#,Manufacturer Color,Plug Type,Material,Color System,Voltage,Speaker,Depth (with stand),Width (with stand),Height (with stand),Compatible Brand,Class of efficiency energy,Scale of efficiency energy,modell,Internetverbindung,Processor,Speicherkapazität,Ability to storage,Functionality Smart TV,Inputs Audio / Video,Internet connectivity,Storage capacity,Tuner digital integrated1,Tuner digital integrated2,Tuner digital integrated3,Tuner digital integrated4,Functionality Smart TV1,Inputs Audio / Video1,Tuner digital integrated,Functionality Smart TV2,Size,Televisions:Screen_Size_Class,Home_Video:Series,Bundle Description
"Insignia 24"" HD 720p Class F20 Series LED Smart Fire TV Model NS-24DF310NA21",108.98,143 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,NS-24DF310NA21,HD (720p),60Hz,Works with Amazon Alexa,black,Fire TV,"RCA, HDMI",2021,NA,Insignia,n/a,"24""",600603273322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 32"" Class HD LED Android Smart TV 3-Series - 32S21 Brand New Free Shipping",159.99,28 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,3-Series,720p (HD),,"Dolby Audio, HD Picture Quality, Hey Google / Google Assistant, Remote Control Included",Black,Android TV,"Composite Video RCA, HDMI",,,TCL,,32 in,846042024136,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW ROKU Smart TV 40"" FHD LED H4030F Series 40H4030F1 (Black)", , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Hisense 43H5500G,1080p (FHD),,Wall Mountable,Black,"Closed Captioning (CC), Downloadable Apps, Internet Browsing, Netflix",,,,Roku,,40 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung - 43"" Class 7 Series LED 4K UHD Smart Tizen TV",275.0,6 watchers,"['I cannot connect to computer, and cannot replace the old SONY yet.  I can talk to the TV and user interface is quite clear and easy to use until ""unknown"" source had to be recognized.  I may have to bring a technician at $85.00 per hour to make it work, perhaps.  Will you cover some of these costs?            THIS IS UNACCEPTABLE', 'Awesome TV based on cost, size, picture quality and being shipped free. ', 'The picture on the tv is ok, but the app section does not work correctly.  I have to delete some apps and re download them frequently.  I had a Roku no name tv that was a much better quality tv.  I am very disappointed in this purchase.', 'True 4K TV. I have a three 43 Inch TV computer setup. This came in no damage. Its nice. ', 'I am having problems with the channels I scan and they don’t seem to want to stay and don’t know what the problem is TVs in the house so work fine it’s just worn out on my deck that don’t work fine', ""It's pretty good. Make me wonder what the larger displays are like."", 'Good picture. Nice tv. Happy with purchase ', 'Very happy with the picture, sound and operation of the TV, outstanding.', 'very easy setup and startup ', 'color tv, wow']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung TU7000,2160p (4K),,"Wi-Fi Enabled, Wall Mountable",Gray,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","Coaxial F, HDMI, USB 2.0",2020,UN43TU7000FXZA,Samsung,Yes,43 in,887276400037,,Televisions,1 Year,1 Year,"QAM, ATSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onn 75"" Class 4k UHD (2160p) LED Frameless Roku Smart TV MSRP $949 –",599.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,100044717,2160p (4K),60 Hz,Thin Bezel,Black,Roku,"Audio-In Jack (3.5mm), Coaxial F, Composite Video RCA, HDMI, Optical Cable, USB, LAN",,,ONN,,75 in,681131379120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung QN55LS03AA 55” The Frame QLED UHD 4K Smart TV QN55LS03AAFXZA (2021),919.0,88 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,QN55LS03AAFXZA,2160p (4K),240 Hz,"Bluetooth, Wi-Fi Enabled, HDTV Enabled, Local Dimming, Built-in Speakers, Ethernet Port, Wall Mountable, RS-232C, Flat Screen",Black,"Netflix, Internet Streaming Interface, Home Automation Control, Closed Captioning (CC), Voice Interaction, Downloadable Apps, Home Network Streaming, Internet Browsing","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",2021,QN55LS03AAFXZA,Samsung,,55 in,887276522593,,,,,ATSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIO 75”inch New TV Quantum LED 4K UHD SMART.   THIS IS A  BOX DAMAGED ITEM.,300.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Vizio M75Q7,2160p (4K),60 Hz,,,,HDMI,,,VIZIO,,75 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hisense 75U800GR 75"" ULED 8K Premium Roku Smart TV 2021 + Movies Streaming Pack",1899.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,75U800GR,4320p (8K),120 Hz,"Game Mode, Local Dimming, Wall Mountable, HDR TV, Upscaling to 8K",Black,"Netflix, Internet Streaming Interface, Not Supported, Closed Captioning (CC), Voice Interaction, Screen Mirroring, Downloadable Apps","USB, Composite Video RCA, HDMI",2021,75U800GR,Hisense,1 Year,74.5 in,888143011271,Not Compliant,,,,ATSC,Yes,Not Supported,0888143011271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung AU8000 50 inch 2160p Crystal UHD LED Smart TV, , ,"[""This TV arrived in 4 days via UPS in excellent condition. No damage to the outside carton or to the TV.Physical unpacking and set up was easy. Complying with all the Samsung setup conditions was intrusive and offensive. It left a bad taste. It could use an additional HDMI port and traditional RCA jacks (red, yellow, white). It would be charitable to describe the remote as minimalist. We purchased an inexpensive universal remote with real channel buttons and functional controls and it made a positive difference. Voice control isn't a necessary feature for us. This TV meets our requirements but it's a bit pricey for what you get."", ""the remote is to small and not enough control buttons . I don't like the fact I have to go through screens to get to controls .the lack of inputs on side is a design problem. you cant change the picture ratio. volume control needs to be better. picture and sound is nice ,voice control remote is a mixed bag, The internet part is quite is good .I really like Samsung but this tv is a rather Big disappointment. The size of the mounting bolts size is WRONG BIG TIME IN GOOGLE.ITS A DECENT TV BUT IT Should have been design a lot better."", 'Great display, sound, and performance. A great investment if you want an excellent TV for the$$$$. Definitely recommend it to anyone with a low budget or that don’t want to spend too much on a TV.', 'Beautiful, bright picture. Minimalist remote (but replete with features).', 'Good quality picture. Smart features are great.  Speakers are OK.', ""Great Tv good picture. okay there's just so much you say about a tv."", 'great picture,.a little hard to navigate,and remote code not displayed clearly if at all.', 'This is an excellent TV, right out of the box very easy to set up, if you have another Samsung TV you can transfer your settings from that TV to this new TV. Very easy setup this way. Picture is crystal clear!', 'Relatively easy to set up and has a great picture.  ', ""The picture is clear as a bell and it was easy to hang on the wall. I bought an articulating mount so we could watch from any angle. I still haven't tried all the goodies available and maybe I'm too dumb for a smart TV. Anyway, we love it.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,AU8000,2160p (4K),120 Hz,"Bluetooth, Widescreen (16:9), Game Mode, Wall Mountable, HDR TV, Thin Bezel, Remote Control Included, UpScaling to 4K, Mirror TV, Wi-Fi Enabled, Ethernet Port, Voice Search, Flat Screen",Black,"Netflix, Internet Streaming Interface, Home Automation Control, Downloadable Apps, Home Network Streaming, Internet Browsing","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 3.0, USB 2.0",2021,UN50AU8000FXZA,Samsung,,50 in,0887276522975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 55"" Class 4-Series 4K UHD HDR Roku Smart TV", , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HDR,55S431,4K UHD,60 Hz,"Bluetooth, Wi-Fi Enabled, Game Mode, Ethernet Port, Wall Mountable, HDR TV, Flat Screen, Remote Control Included, Wi-Fi Ready",Black,"Netflix, Internet Streaming Interface, Downloadable Apps, Internet Browsing","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",2021,AU8000,TCL,,55 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
